country_iso2,country_name,population,surface_km2
DK,Denmark,6011488,43094.0
PT,Portugal,10749635,92090.0
LT,Lithuania,2894886,65300.0
FR,France,66351959,543908.0
EE,Estonia,1369995,45227.0
HR,Croatia,3866233,56594.0
BE,Belgium,11825551,30528.0
IT,Italy,58927633,301336.0
LU,Luxembourg,681973,2586.0
HU,Hungary,9539502,93028.0
SI,Slovenia,2130638,20273.0
RO,Romania,19036031,238391.0
NL,Netherlands,18100436,41865.0
FI,Finland,5650325,338455.0
IE,Ireland,5458600,70273.0
CZ,Czechia,10882341,78865.0
PL,Poland,37392000,312679.0
GR,Greece,10400720,131990.0
CY,Cyprus,1442614,9251.0
SE,Sweden,10605098,450295.0
ES,Spain,49315949,505992.0
DE,Germany,83491249,357114.0
SK,Slovakia,5413813,49037.0
MT,Malta,574250,316.0
AT,Austria,9200931,83871.0
LV,Latvia,1829000,64559.0
BG,Bulgaria,6437360,110879.0
