country_iso2,country_name,renewable_energy_pct,renewable_energy_pct_year,protected_areas_pct,protected_areas_pct_year,renewable_score,protected_areas_score,ecological_policy_index
AT,Austria,36.0,2021,29.6,2024,55.57809330628803,52.11726384364822,53.84767857496813
BE,Belgium,11.7,2021,16.3,2024,6.288032454361055,8.79478827361564,7.541410363988348
BG,Bulgaria,20.4,2021,44.3,2024,23.935091277890468,100.0,61.96754563894523
CY,Cyprus,15.6,2021,38.6,2024,14.198782961460447,81.43322475570034,47.816003858580395
CZ,Czechia,17.2,2021,21.9,2024,17.44421906693712,27.035830618892508,22.240024842914814
DE,Germany,17.6,2021,39.3,2024,18.255578093306294,83.71335504885992,50.98446657108311
DK,Denmark,39.5,2021,15.8,2024,62.67748478701826,7.166123778501634,34.92180428275994
EE,Estonia,38.0,2021,22.0,2024,59.63488843813387,27.361563517915314,43.49822597802459
ES,Spain,19.0,2021,28.1,2024,21.09533468559838,47.2312703583062,34.16330252195229
FI,Finland,50.2,2021,13.6,2024,84.38133874239352,0.0,42.19066937119676
FR,France,16.2,2021,28.6,2024,15.415821501014198,48.85993485342021,32.1378781772172
GR,Greece,21.5,2021,35.0,2024,26.16632860040568,69.70684039087949,47.936584495642585
HR,Croatia,34.1,2021,38.4,2024,51.724137931034484,80.78175895765473,66.25294844434461
HU,Hungary,15.3,2021,22.6,2024,13.590263691683575,29.315960912052123,21.453112301867847
IE,Ireland,12.7,2021,14.4,2024,8.316430020283976,2.605863192182413,5.461146606233195
IT,Italy,17.5,2021,21.6,2024,18.052738336713997,26.058631921824116,22.055685129269058
LT,Lithuania,33.2,2021,17.8,2024,49.89858012170386,13.68078175895766,31.78968094033076
LU,Luxembourg,20.5,2021,38.7,2024,24.137931034482758,81.75895765472315,52.948444344602954
LV,Latvia,44.0,2021,18.5,2024,71.80527383367141,15.960912052117267,43.883092942894336
MT,Malta,8.6,2021,28.9,2024,0.0,49.8371335504886,24.9185667752443
NL,Netherlands,12.2,2021,22.9,2024,7.302231237322515,30.293159609120522,18.79769542322152
PL,Poland,15.2,2021,39.6,2024,13.387423935091277,84.69055374592836,49.038988840509816
PT,Portugal,32.3,2021,22.8,2024,48.07302231237322,29.967426710097726,39.02022451123547
RO,Romania,23.6,2021,24.6,2024,30.42596348884382,35.830618892508156,33.12829119067599
SE,Sweden,57.9,2021,15.5,2024,100.0,6.188925081433227,53.09446254071661
SI,Slovenia,23.4,2021,40.5,2024,30.02028397565923,87.62214983713356,58.821216906396394
SK,Slovakia,17.9,2021,37.5,2024,18.86409736308316,77.85016286644951,48.357130114766335
